point	side	pair	cpu_p50	cpu_p95	f16_p50	f16_p95	f32_p50	f32_p95	mismatch	line	i8_oversample	i8_p50	i8_p95	i8_recall	i8_mismatch	i8_status	i8_reason	f16_arith_dispatches	f16_arith_guard_fallbacks
100000:128:1	after	2	21061	21198	1440	1520	2011	2138	0	measured	4	3917	3980	1.0000	0	measured		0	40
100000:128:1	before	3	19162	19354	1231	1258	2300	2360	0	measured						unsupported
100000:128:1	after	3	21476	21769	1399	1533	2001	2049	0	measured	4	3881	3970	1.0000	0	measured		0	40
100000:128:1	before	4	19062	19288	1274	1309	2315	2507	0	measured						unsupported
100000:128:1	after	4	21297	21555	1376	1391	2087	2147	0	measured	4	3703	3888	1.0000	0	measured		0	40
100000:128:1	before	5	19115	19300	1346	1378	2339	2399	0	measured						unsupported
100000:128:1	after	5	21014	21360	1446	1473	2087	2134	0	measured	4	3803	3848	1.0000	0	measured		0	40
100000:128:256	before	1	282616	282916	329134	332163	599848	604556	0	measured						unsupported
100000:128:256	after	1	274620	274876	62907	63124	83343	83826	0	measured	4	1312742	1841922	1.0000	0	measured		0	40
100000:128:256	before	2	283754	360969	322108	334187	625120	766127	0	measured						unsupported
100000:128:256	after	2	275179	275672	63020	64074	84246	85902	0	measured	4	1246307	1253273	1.0000	0	measured		0	40
100000:128:256	before	3	282546	282992	320477	327310	594833	600686	0	measured						unsupported
100000:128:256	after	3	278223	354796	63996	64409	83098	83259	0	measured	4	1253356	1277342	1.0000	0	measured		0	40
100000:128:256	before	4	284376	306667	326005	352796	601601	616810	0	measured						unsupported
100000:128:256	after	4	274950	275321	63359	63699	82549	82994	0	measured	4	1219696	1228328	1.0000	0	measured		0	40
100000:128:256	before	5	283472	283739	323550	330738	596170	602182	0	measured						unsupported
100000:128:256	after	5	275017	275233	63393	65285	83145	83774	0	measured	4	1230625	1242049	1.0000	0	measured		0	40
500000:128:64	before	1	412045	413091	440182	444539	646651	651901	0	measured						unsupported
500000:128:64	after	1	419633	431789	78487	79013	101111	103691	0	measured	4	1810043	1961828	1.0000	0	measured		0	40
500000:128:64	before	2	412422	413757	438845	441024	640151	645929	0	measured						unsupported
500000:128:64	after	2	419190	420821	79541	79782	102238	102593	0	measured	4	1769576	1972963	1.0000	0	measured		0	40
500000:128:64	before	3	414414	415786	442819	446809	645304	649628	0	measured						unsupported
500000:128:64	after	3	417798	418637	78433	79256	100867	101270	0	measured	4	1963467	1986910	1.0000	0	measured		0	40
500000:128:64	before	4	414094	417066	440826	442703	650989	660270	0	measured						unsupported
500000:128:64	after	4	418655	419551	79356	79519	102294	102639	0	measured	4	1773513	1973251	1.0000	0	measured		0	40
500000:128:64	before	5	412514	413422	439686	447100	647761	651307	0	measured						unsupported
500000:128:64	after	5	420120	421758	79302	79533	102159	102440	0	measured	4	1949432	1974074	1.0000	0	measured		0	40
