side	pair	kind	working_set	dim	rows	value_ms	ns_per_dot	ratio	status
cand384	3	current	cache_resident	768	21	0.121	28.71		ok
cand384	3	current	cache_resident	1536	10	0.111	55.39		ok
cand384	3	current	arena_scale	100	25000	0.175	7.00		ok
cand384	3	current	arena_scale	128	25000	0.249	9.95		ok
cand384	3	current	arena_scale	384	25000	1.536	61.43		ok
cand384	3	current	arena_scale	768	25000	2.975	119.01		ok
cand384	3	current	arena_scale	1536	25000	5.751	230.05		ok
cand384	3	block_single	cache_resident	128		0.132			ok
cand384	3	block4	cache_resident	128		0.125		0.941	ok
cand384	3	block_single	cache_resident	768		0.115			ok
cand384	3	block4	cache_resident	768		0.116		1.007	ok
cand384	3	block_single	arena_scale	128		0.196			ok
cand384	3	block4	arena_scale	128		0.199		1.018	ok
cand384	3	block_single	arena_scale	768		2.751			ok
cand384	3	block4	arena_scale	768		2.748		0.999	ok
cand384	3	block_ref	cache_resident	128		0.146		0.1688	ok
cand384	3	block_ref	cache_resident	768		0.115		0.1039	ok
cand384	3	block_ref	arena_scale	128		0.202		0.1552	ok
cand384	3	block_ref	arena_scale	768		2.733		0.0986	ok
before	4	current	cache_resident	100	163	0.176	5.39		ok
before	4	current	cache_resident	128	128	0.141	5.52		ok
before	4	current	cache_resident	384	42	0.151	18.03		ok
before	4	current	cache_resident	768	21	0.186	44.33		ok
before	4	current	cache_resident	1536	10	0.213	106.28		ok
before	4	current	arena_scale	100	25000	0.163	6.53		ok
before	4	current	arena_scale	128	25000	0.224	8.97		ok
before	4	current	arena_scale	384	25000	1.222	48.88		ok
before	4	current	arena_scale	768	25000	2.867	114.68		ok
before	4	current	arena_scale	1536	25000	6.471	258.84		ok
before	4	block_single	cache_resident	128		0.137			ok
before	4	block4	cache_resident	128		0.127		0.925	ok
before	4	block_single	cache_resident	768		0.179			ok
before	4	block4	cache_resident	768		0.107		0.598	ok
before	4	block_single	arena_scale	128		0.206			ok
before	4	block4	arena_scale	128		0.205		0.995	ok
before	4	block_single	arena_scale	768		3.137			ok
before	4	block4	arena_scale	768		2.596		0.828	ok
before	4	block_ref	cache_resident	128		0.141		0.0657	ok
before	4	block_ref	cache_resident	768		0.179		0.0584	ok
before	4	block_ref	arena_scale	128		0.215		0.2395	ok
before	4	block_ref	arena_scale	768		3.072		0.1332	ok
after	4	current	cache_resident	100	163	0.538	16.52		ok
after	4	current	cache_resident	128	128	0.146	5.69		ok
after	4	current	cache_resident	384	42	0.152	18.13		ok
after	4	current	cache_resident	768	21	0.121	28.82		ok
after	4	current	cache_resident	1536	10	0.112	55.92		ok
after	4	current	arena_scale	100	25000	0.197	7.88		ok
after	4	current	arena_scale	128	25000	0.228	9.12		ok
after	4	current	arena_scale	384	25000	1.259	50.36		ok
after	4	current	arena_scale	768	25000	2.879	115.14		ok
after	4	current	arena_scale	1536	25000	5.871	234.84		ok
after	4	block_single	cache_resident	128		0.133			ok
after	4	block4	cache_resident	128		0.125		0.941	ok
after	4	block_single	cache_resident	768		0.115			ok
after	4	block4	cache_resident	768		0.116		1.008	ok
after	4	block_single	arena_scale	128		0.205			ok
after	4	block4	arena_scale	128		0.209		1.020	ok
after	4	block_single	arena_scale	768		2.876			ok
after	4	block4	arena_scale	768		2.881		1.002	ok
after	4	block_ref	cache_resident	128		0.146		0.0801	ok
after	4	block_ref	cache_resident	768		0.115		0.0697	ok
after	4	block_ref	arena_scale	128		0.213		0.2016	ok
after	4	block_ref	arena_scale	768		2.900		0.1127	ok
before	4c0	current	cache_resident	100	163	0.176	5.39		ok
before	4c0	current	cache_resident	128	128	0.140	5.45		ok
before	4c0	current	cache_resident	384	42	0.151	17.98		ok
before	4c0	current	cache_resident	768	21	0.186	44.30		ok
before	4c0	current	cache_resident	1536	10	0.209	104.63		ok
before	4c0	current	arena_scale	100	25000	0.177	7.08		ok
before	4c0	current	arena_scale	128	25000	0.228	9.11		ok
before	4c0	current	arena_scale	384	25000	1.209	48.34		ok
before	4c0	current	arena_scale	768	25000	3.134	125.38		ok
before	4c0	current	arena_scale	1536	25000	6.594	263.75		ok
before	4c0	block_single	cache_resident	128		0.134			ok
before	4c0	block4	cache_resident	128		0.124		0.925	ok
before	4c0	block_single	cache_resident	768		0.179			ok
before	4c0	block4	cache_resident	768		0.107		0.599	ok
before	4c0	block_single	arena_scale	128		0.204			ok
before	4c0	block4	arena_scale	128		0.205		1.007	ok
before	4c0	block_single	arena_scale	768		3.128			ok
before	4c0	block4	arena_scale	768		2.601		0.832	ok
before	4c0	block_ref	cache_resident	128		0.140		0.0497	ok
before	4c0	block_ref	cache_resident	768		0.179		0.0447	ok
before	4c0	block_ref	arena_scale	128		0.214		0.1529	ok
before	4c0	block_ref	arena_scale	768		3.090		0.1036	ok
cand384	4	current	cache_resident	100	163	0.180	5.52		ok
cand384	4	current	cache_resident	128	128	0.146	5.69		ok
cand384	4	current	cache_resident	384	42	0.124	14.74		ok
cand384	4	current	cache_resident	768	21	0.121	28.86		ok
cand384	4	current	cache_resident	1536	10	0.113	56.39		ok
cand384	4	current	arena_scale	100	25000	0.165	6.58		ok
cand384	4	current	arena_scale	128	25000	0.230	9.19		ok
cand384	4	current	arena_scale	384	25000	1.176	47.04		ok
cand384	4	current	arena_scale	768	25000	2.961	118.45		ok
cand384	4	current	arena_scale	1536	25000	5.858	234.32		ok
cand384	4	block_single	cache_resident	128		0.133			ok
cand384	4	block4	cache_resident	128		0.124		0.938	ok
cand384	4	block_single	cache_resident	768		0.115			ok
cand384	4	block4	cache_resident	768		0.116		1.007	ok
cand384	4	block_single	arena_scale	128		0.201			ok
cand384	4	block4	arena_scale	128		0.204		1.015	ok
cand384	4	block_single	arena_scale	768		2.863			ok
cand384	4	block4	arena_scale	768		2.856		0.998	ok
cand384	4	block_ref	cache_resident	128		0.146		0.0812	ok
cand384	4	block_ref	cache_resident	768		0.115		0.0669	ok
cand384	4	block_ref	arena_scale	128		0.209		0.1433	ok
cand384	4	block_ref	arena_scale	768		2.838		0.0976	ok
before	5	current	cache_resident	100	163	0.176	5.41		ok
before	5	current	cache_resident	128	128	0.140	5.45		ok
before	5	current	cache_resident	384	42	0.152	18.10		ok
before	5	current	cache_resident	768	21	0.186	44.33		ok
before	5	current	cache_resident	1536	10	0.207	103.28		ok
before	5	current	arena_scale	100	25000	0.163	6.51		ok
before	5	current	arena_scale	128	25000	0.229	9.16		ok
before	5	current	arena_scale	384	25000	1.324	52.96		ok
before	5	current	arena_scale	768	25000	3.281	131.25		ok
before	5	current	arena_scale	1536	25000	6.374	254.94		ok
before	5	block_single	cache_resident	128		0.142			ok
before	5	block4	cache_resident	128		0.125		0.874	ok
before	5	block_single	cache_resident	768		0.179			ok
before	5	block4	cache_resident	768		0.107		0.597	ok
before	5	block_single	arena_scale	128		0.222			ok
before	5	block4	arena_scale	128		0.216		0.973	ok
before	5	block_single	arena_scale	768		3.001			ok
before	5	block4	arena_scale	768		2.526		0.842	ok
before	5	block_ref	cache_resident	128		0.151		1.3204	ok
before	5	block_ref	cache_resident	768		0.184		0.7011	ok
before	5	block_ref	arena_scale	128		0.238		0.2895	ok
before	5	block_ref	arena_scale	768		2.960		0.1507	ok
after	5	current	cache_resident	100	163	0.180	5.52		ok
after	5	current	cache_resident	128	128	0.146	5.69		ok
after	5	current	cache_resident	384	42	0.152	18.12		ok
after	5	current	cache_resident	768	21	0.121	28.75		ok
after	5	current	cache_resident	1536	10	0.112	56.15		ok
after	5	current	arena_scale	100	25000	0.164	6.56		ok
after	5	current	arena_scale	128	25000	0.253	10.12		ok
after	5	current	arena_scale	384	25000	1.224	48.98		ok
after	5	current	arena_scale	768	25000	2.872	114.89		ok
after	5	current	arena_scale	1536	25000	5.767	230.69		ok
after	5	block_single	cache_resident	128		0.132			ok
after	5	block4	cache_resident	128		0.124		0.941	ok
after	5	block_single	cache_resident	768		0.115			ok
after	5	block4	cache_resident	768		0.116		1.008	ok
after	5	block_single	arena_scale	128		0.203			ok
after	5	block4	arena_scale	128		0.205		1.006	ok
after	5	block_single	arena_scale	768		2.865			ok
after	5	block4	arena_scale	768		2.865		1.000	ok
after	5	block_ref	cache_resident	128		0.146		0.0808	ok
after	5	block_ref	cache_resident	768		0.116		0.0533	ok
after	5	block_ref	arena_scale	128		0.212		0.1512	ok
after	5	block_ref	arena_scale	768		2.833		0.0808	ok
before	5c0	current	cache_resident	100	163	0.176	5.39		ok
before	5c0	current	cache_resident	128	128	0.140	5.45		ok
before	5c0	current	cache_resident	384	42	0.152	18.08		ok
before	5c0	current	cache_resident	768	21	0.186	44.31		ok
before	5c0	current	cache_resident	1536	10	0.209	104.66		ok
before	5c0	current	arena_scale	100	25000	0.162	6.49		ok
before	5c0	current	arena_scale	128	25000	0.226	9.03		ok
before	5c0	current	arena_scale	384	25000	1.257	50.29		ok
before	5c0	current	arena_scale	768	25000	3.235	129.39		ok
before	5c0	current	arena_scale	1536	25000	6.965	278.58		ok
before	5c0	block_single	cache_resident	128		0.134			ok
before	5c0	block4	cache_resident	128		0.124		0.926	ok
before	5c0	block_single	cache_resident	768		0.179			ok
before	5c0	block4	cache_resident	768		0.107		0.598	ok
before	5c0	block_single	arena_scale	128		0.201			ok
before	5c0	block4	arena_scale	128		0.200		0.992	ok
before	5c0	block_single	arena_scale	768		3.090			ok
before	5c0	block4	arena_scale	768		2.624		0.849	ok
before	5c0	block_ref	cache_resident	128		0.141		0.0561	ok
before	5c0	block_ref	cache_resident	768		0.179		0.0427	ok
before	5c0	block_ref	arena_scale	128		0.210		0.1922	ok
before	5c0	block_ref	arena_scale	768		3.079		0.0640	ok
cand384	5	current	cache_resident	100	163	0.180	5.51		ok
